央视频道,#genre#
CCTV1,http://39.135.133.155:80/TVOD/88888888/224/3221226119/main.m3u8$IPV4『线路1』
CCTV1,http://39.135.133.154:80/TVOD/88888888/224/3221226119/main.m3u8$IPV4『线路2』
CCTV1,http://39.135.133.167:80/TVOD/88888888/224/3221225816/main.m3u8$IPV4『线路3』
CCTV1,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV1.m3u8$IPV4『线路4』
CCTV2,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV2.m3u8$IPV4
CCTV3,http://39.134.65.175/PLTV/88888888/224/3221225799/1.m3u8$IPV4『线路1』
CCTV3,http://39.135.133.157:80/TVOD/88888888/224/3221225799/main.m3u8$IPV4『线路2』
CCTV3,http://39.134.65.196/PLTV/88888888/224/3221225799/1.m3u8$IPV4『线路3』
CCTV3,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV3.m3u8$IPV4『线路4』
CCTV3,http://116.77.32.59:8277/streams/d/cctv3/playlist.m3u8$IPV4『线路5』
CCTV4,http://39.134.67.110/PLTV/88888888/224/3221226092/1.m3u8$IPV4『线路1』
CCTV4,http://39.135.133.167:80/TVOD/88888888/224/3221226092/main.m3u8$IPV4『线路2』
CCTV4,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV4.m3u8$IPV4『线路3』
CCTV5,http://39.135.135.28:80/TVOD/88888888/224/3221225818/main.m3u8$IPV4『线路1』
CCTV5,http://39.134.65.175/PLTV/88888888/224/3221225818/1.m3u8$IPV4『线路2』
CCTV5,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV5.m3u8$IPV4『线路3』
CCTV5+,http://39.134.65.175/PLTV/88888888/224/3221225507/1.m3u8$IPV4『线路1』
CCTV5+,http://116.77.32.59:8277/streams/d/cctv5a/playlist.m3u8$IPV4『线路2』
CCTV6,http://39.134.65.175/PLTV/88888888/224/3221225814/1.m3u8$IPV4『线路1』
CCTV6,http://39.135.133.157:80/TVOD/88888888/224/3221225814/main.m3u8$IPV4『线路2』
CCTV6,http://39.135.133.177:80/TVOD/88888888/224/3221225814/main.m3u8$IPV4『线路3』
CCTV6,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV6.m3u8$IPV4『线路4』
CCTV6,http://116.77.32.59:8277/streams/d/cctv6/playlist.m3u8$IPV4『线路5』
CCTV7,http://39.134.65.175/PLTV/88888888/224/3221225671/1.m3u8$IPV4『线路1』
CCTV7,http://39.135.133.167:80/TVOD/88888888/224/3221225671/main.m3u8$IPV4『线路2』
CCTV7,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV7.m3u8$IPV4『线路3』
CCTV8,http://39.134.65.175/PLTV/88888888/224/3221225795/1.m3u8$IPV4『线路1』
CCTV8,http://39.135.133.177:80/TVOD/88888888/224/3221225795/main.m3u8$IPV4『线路2』
CCTV8,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV8.m3u8$IPV4『线路3』
CCTV9,http://39.135.135.28:80/TVOD/88888888/224/3221225676/main.m3u8$IPV4『线路1』
CCTV9,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV9.m3u8$IPV4『线路2』
CCTV10,http://39.135.135.28:80/TVOD/88888888/224/3221225677/main.m3u8$IPV4『线路1』
CCTV10,http://39.134.65.175/PLTV/88888888/224/3221225677/1.m3u8$IPV4『线路2』
CCTV10,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV10.m3u8$IPV4『线路3』
CCTV11,http://39.135.133.177:80/TVOD/88888888/224/3221226123/main.m3u8$IPV4『线路1』
CCTV11,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV11.m3u8$IPV4『线路2』
CCTV12,http://39.134.65.175/PLTV/88888888/224/3221225669/1.m3u8$IPV4『线路1』
CCTV12,http://39.135.133.167:80/TVOD/88888888/224/3221225669/main.m3u8$IPV4『线路2』
CCTV12,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV12.m3u8$IPV4『线路3』
CCTV13,https://event.pull.hebtv.com/jishi/cp1.m3u8$IPV4『线路1』
CCTV13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8$IPV4『线路2』
CCTV13,http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8$IPV4『线路3』
CCTV13,https://ldncctvwbcdcnc.v.wscdns.com/ldncctvwbcd/cdrmldcctv13_1/index.m3u8$IPV4『线路4』
CCTV13,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV13.m3u8$IPV4『线路5』
CCTV14,https://event.pull.hebtv.com/jishi/cp2.m3u8$IPV4『线路1』
CCTV14,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV14.m3u8$IPV4『线路2』
CCTV15,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV15.m3u8$IPV4
CCTV16,http://39.135.133.177:80/TVOD/88888888/224/3221225893/main.m3u8$IPV4
CCTV17,http://211.142.224.62:2023http://192.168.10.200:8008/paiptv/CCTV17.m3u8$IPV4
卫视频道,#genre#
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8$IPV4
